Commidity,Year,Month,Price
Corn,2000,Jan,1.91
Corn,2000,Feb,1.98
Corn,2000,Mar,2.03
Corn,2000,Apr,2.03
Corn,2000,May,2.11
Corn,2000,Jun,1.91
Corn,2000,Jul,1.64
Corn,2000,Aug,1.52
Corn,2000,Sep,1.61
Corn,2000,Oct,1.74
Corn,2000,Nov,1.86
Corn,2000,Dec,1.97
Corn,2001,Jan,1.98
Corn,2001,Feb,1.96
Corn,2001,Mar,1.96
Corn,2001,Apr,1.89
Corn,2001,May,1.82
Corn,2001,Jun,1.76
Corn,2001,Jul,1.87
Corn,2001,Aug,1.9
Corn,2001,Sep,1.91
Corn,2001,Oct,1.84
Corn,2001,Nov,1.85
Corn,2001,Dec,1.98
Corn,2002,Jan,1.97
Corn,2002,Feb,1.93
Corn,2002,Mar,1.94
Corn,2002,Apr,1.91
Corn,2002,May,1.93
Corn,2002,Jun,1.97
Corn,2002,Jul,2.13
Corn,2002,Aug,2.38
Corn,2002,Sep,2.47
Corn,2002,Oct,2.34
Corn,2002,Nov,2.28
Corn,2002,Dec,2.32
Corn,2003,Jan,2.33
Corn,2003,Feb,2.34
Corn,2003,Mar,2.33
Corn,2003,Apr,2.34
Corn,2003,May,2.38
Corn,2003,Jun,2.34
Corn,2003,Jul,2.17
Corn,2003,Aug,2.15
Corn,2003,Sep,2.2
Corn,2003,Oct,2.12
Corn,2003,Nov,2.2
Corn,2003,Dec,2.31
Corn,2004,Jan,2.39
Corn,2004,Feb,2.61
Corn,2004,Mar,2.75
Corn,2004,Apr,2.89
Corn,2004,May,2.87
Corn,2004,Jun,2.79
Corn,2004,Jul,2.51
Corn,2004,Aug,2.34
Corn,2004,Sep,2.2
Corn,2004,Oct,2.14
Corn,2004,Nov,2.05
Corn,2004,Dec,2.04
Corn,2005,Jan,2.12
Corn,2005,Feb,1.95
Corn,2005,Mar,2.02
Corn,2005,Apr,2
Corn,2005,May,1.98
Corn,2005,Jun,2.03
Corn,2005,Jul,2.11
Corn,2005,Aug,1.95
Corn,2005,Sep,1.9
Corn,2005,Oct,1.82
Corn,2005,Nov,1.77
Corn,2005,Dec,1.92
Corn,2006,Jan,2
Corn,2006,Feb,2.02
Corn,2006,Mar,2.06
Corn,2006,Apr,2.11
Corn,2006,May,2.17
Corn,2006,Jun,2.14
Corn,2006,Jul,2.14
Corn,2006,Aug,2.09
Corn,2006,Sep,2.2
Corn,2006,Oct,2.55
Corn,2006,Nov,2.88
Corn,2006,Dec,3.01
Corn,2007,Jan,3.05
Corn,2007,Feb,3.44
Corn,2007,Mar,3.43
Corn,2007,Apr,3.39
Corn,2007,May,3.49
Corn,2007,Jun,3.53
Corn,2007,Jul,3.32
Corn,2007,Aug,3.26
Corn,2007,Sep,3.28
Corn,2007,Oct,3.29
Corn,2007,Nov,3.44
Corn,2007,Dec,3.77
Corn,2008,Jan,3.98
Corn,2008,Feb,4.54
Corn,2008,Mar,4.7
Corn,2008,Apr,5.14
Corn,2008,May,5.27
Corn,2008,Jun,5.47
Corn,2008,Jul,5.25
Corn,2008,Aug,5.26
Corn,2008,Sep,5.01
Corn,2008,Oct,4.37
Corn,2008,Nov,4.26
Corn,2008,Dec,4.11
Corn,2009,Jan,4.36
Corn,2009,Feb,3.87
Corn,2009,Mar,3.85
Corn,2009,Apr,3.85
Corn,2009,May,3.96
Corn,2009,Jun,4.01
Corn,2009,Jul,3.6
Corn,2009,Aug,3.33
Corn,2009,Sep,3.25
Corn,2009,Oct,3.61
Corn,2009,Nov,3.65
Corn,2009,Dec,3.6
Corn,2010,Jan,3.66
Corn,2010,Feb,3.55
Corn,2010,Mar,3.55
Corn,2010,Apr,3.41
Corn,2010,May,3.48
Corn,2010,Jun,3.41
Corn,2010,Jul,3.49
Corn,2010,Aug,3.65
Corn,2010,Sep,4.08
Corn,2010,Oct,4.32
Corn,2010,Nov,4.55
Corn,2010,Dec,4.82
Corn,2011,Jan,4.94
Corn,2011,Feb,5.65
Corn,2011,Mar,5.53
Corn,2011,Apr,6.36
Corn,2011,May,6.32
Corn,2011,Jun,6.38
Corn,2011,Jul,6.33
Corn,2011,Aug,6.88
Corn,2011,Sep,6.38
Corn,2011,Oct,5.73
Corn,2011,Nov,5.83
Corn,2011,Dec,5.86
Corn,2012,Jan,6.07
Corn,2012,Feb,6.28
Corn,2012,Mar,6.35
Corn,2012,Apr,6.34
Corn,2012,May,6.34
Corn,2012,Jun,6.37
Corn,2012,Jul,7.14
Corn,2012,Aug,7.63
Corn,2012,Sep,6.89
Corn,2012,Oct,6.78
Corn,2012,Nov,7.01
Corn,2012,Dec,6.87
Corn,2013,Jan,6.96
Corn,2013,Feb,7.04
Corn,2013,Mar,7.13
Corn,2013,Apr,6.97
Corn,2013,May,6.97
Corn,2013,Jun,6.97
Corn,2013,Jul,6.79
Corn,2013,Aug,6.21
Corn,2013,Sep,5.4
Corn,2013,Oct,4.63
Corn,2013,Nov,4.37
Corn,2013,Dec,4.41
Corn,2014,Jan,4.42
Corn,2014,Feb,4.35
Corn,2014,Mar,4.52
Corn,2014,Apr,4.71
Corn,2014,May,4.71
Corn,2014,Jun,4.5
Corn,2014,Jul,4.06
Corn,2014,Aug,3.63
Corn,2014,Sep,3.49
Corn,2014,Oct,3.57
Corn,2014,Nov,3.6
Corn,2014,Dec,3.79
Corn,2015,Jan,3.82
Corn,2015,Feb,3.79
Corn,2015,Mar,3.81
Corn,2015,Apr,3.75
Corn,2015,May,3.64
Corn,2015,Jun,3.59
Corn,2015,Jul,3.8
Corn,2015,Aug,3.68
Corn,2015,Sep,3.68
Corn,2015,Oct,3.67
Corn,2015,Nov,3.59
Corn,2015,Dec,3.65
Corn,2016,Jan,3.66
Corn,2016,Feb,3.58
Corn,2016,Mar,3.56
Corn,2016,Apr,3.56
Corn,2016,May,3.68
Corn,2016,Jun,3.82
Corn,2016,Jul,3.6
Corn,2016,Aug,3.21
Corn,2016,Sep,3.22
Corn,2016,Oct,3.29
Corn,2016,Nov,3.24
Corn,2016,Dec,3.32
Corn,2017,Jan,3.4
Corn,2017,Feb,3.44
Corn,2017,Mar,3.49
Corn,2017,Apr,3.43
Corn,2017,May,3.45
Corn,2017,Jun,3.43
Corn,2017,Jul,3.49
Corn,2017,Aug,3.27
Corn,2017,Sep,3.27
Corn,2017,Oct,3.26
Corn,2017,Nov,3.15
Corn,2017,Dec,3.23
Corn,2018,Jan,3.29
Corn,2018,Feb,3.38
Corn,2018,Mar,3.51
Corn,2018,Apr,3.58
Corn,2018,May,3.68
Corn,2018,Jun,3.58
Corn,2018,Jul,3.47
Corn,2018,Aug,3.36
Corn,2018,Sep,3.4
Corn,2018,Oct,3.42
Corn,2018,Nov,3.41
Corn,2018,Dec,3.54
Corn,2019,Jan,3.56
Corn,2019,Feb,3.6
Corn,2019,Mar,3.61
Corn,2019,Apr,3.53
Corn,2019,May,3.63
Corn,2019,Jun,3.98
Corn,2019,Jul,4.16
Corn,2019,Aug,3.93
Corn,2019,Sep,3.8
Corn,2019,Oct,3.85
Corn,2019,Nov,3.68
Corn,2019,Dec,3.71
Corn,2020,Jan,3.79
Corn,2020,Feb,3.78
Corn,2020,Mar,3.68
Corn,2020,Apr,3.29
Corn,2020,May,3.2
Corn,2020,Jun,3.16
Corn,2020,Jul,3.21
Corn,2020,Aug,3.12
Corn,2020,Sep,3.41
Corn,2020,Oct,3.61
Corn,2020,Nov,3.79
Corn,2020,Dec,3.97
Corn,2021,Jan,4.24
Corn,2021,Feb,4.75
Corn,2021,Mar,4.89
Corn,2021,Apr,5.31
Corn,2021,May,5.91
Corn,2021,Jun,6
Corn,2021,Jul,6.12
Corn,2021,Aug,6.32
Corn,2021,Sep,5.47
Corn,2021,Oct,5.02
Corn,2021,Nov,5.26
Corn,2021,Dec,5.47
Corn,2022,Jan,5.58
Corn,2022,Feb,6.09
Corn,2022,Mar,6.56
Corn,2022,Apr,7.07
Corn,2022,May,7.26
Corn,2022,Jun,7.38
Corn,2022,Jul,7.25
Corn,2022,Aug,7.24
Corn,2022,Sep,7.09
Corn,2022,Oct,6.49
Corn,2022,Nov,6.49
Corn,2022,Dec,6.58
Corn,2023,Jan,6.63
Corn,2023,Feb,6.8
Corn,2023,Mar,6.67
Corn,2023,Apr,6.7
Corn,2023,May,6.54
Corn,2023,Jun,6.49
Corn,2023,Jul,6.22
Corn,2023,Aug,5.73
Corn,2023,Sep,5.21
Corn,2023,Oct,4.93
Corn,2023,Nov,4.66
Corn,2023,Dec,4.8
Corn,2024,Jan,4.74
Corn,2024,Feb,4.36
Corn,2024,Mar,4.36
Corn,2024,Apr,4.39
Sorghum,2000,Jan,1.6
Sorghum,2000,Feb,1.71
Sorghum,2000,Mar,1.8
Sorghum,2000,Apr,1.81
Sorghum,2000,May,1.86
Sorghum,2000,Jun,1.86
Sorghum,2000,Jul,1.58
Sorghum,2000,Aug,1.53
Sorghum,2000,Sep,1.55
Sorghum,2000,Oct,1.69
Sorghum,2000,Nov,1.83
Sorghum,2000,Dec,1.98
Sorghum,2001,Jan,1.9
Sorghum,2001,Feb,1.94
Sorghum,2001,Mar,1.84
Sorghum,2001,Apr,1.7
Sorghum,2001,May,1.8
Sorghum,2001,Jun,2.03
Sorghum,2001,Jul,2.08
Sorghum,2001,Aug,1.95
Sorghum,2001,Sep,1.93
Sorghum,2001,Oct,1.85
Sorghum,2001,Nov,1.85
Sorghum,2001,Dec,1.82
Sorghum,2002,Jan,1.87
Sorghum,2002,Feb,1.83
Sorghum,2002,Mar,1.81
Sorghum,2002,Apr,1.75
Sorghum,2002,May,1.78
Sorghum,2002,Jun,2.14
Sorghum,2002,Jul,2.27
Sorghum,2002,Aug,2.36
Sorghum,2002,Sep,2.41
Sorghum,2002,Oct,2.42
Sorghum,2002,Nov,2.46
Sorghum,2002,Dec,2.42
Sorghum,2003,Jan,2.31
Sorghum,2003,Feb,2.32
Sorghum,2003,Mar,2.21
Sorghum,2003,Apr,2.22
Sorghum,2003,May,2.21
Sorghum,2003,Jun,2.02
Sorghum,2003,Jul,2.03
Sorghum,2003,Aug,2.2
Sorghum,2003,Sep,2.22
Sorghum,2003,Oct,2.23
Sorghum,2003,Nov,2.31
Sorghum,2003,Dec,2.35
Sorghum,2004,Jan,2.44
Sorghum,2004,Feb,2.67
Sorghum,2004,Mar,2.71
Sorghum,2004,Apr,2.85
Sorghum,2004,May,2.7
Sorghum,2004,Jun,2.56
Sorghum,2004,Jul,2.39
Sorghum,2004,Aug,2.25
Sorghum,2004,Sep,2
Sorghum,2004,Oct,1.78
Sorghum,2004,Nov,1.71
Sorghum,2004,Dec,1.67
Sorghum,2005,Jan,1.65
Sorghum,2005,Feb,1.66
Sorghum,2005,Mar,1.7
Sorghum,2005,Apr,1.66
Sorghum,2005,May,1.71
Sorghum,2005,Jun,2.11
Sorghum,2005,Jul,2.21
Sorghum,2005,Aug,2.07
Sorghum,2005,Sep,1.91
Sorghum,2005,Oct,1.67
Sorghum,2005,Nov,1.58
Sorghum,2005,Dec,1.63
Sorghum,2006,Jan,1.77
Sorghum,2006,Feb,1.9
Sorghum,2006,Mar,1.98
Sorghum,2006,Apr,2.07
Sorghum,2006,May,2.25
Sorghum,2006,Jun,2.21
Sorghum,2006,Jul,2.58
Sorghum,2006,Aug,2.44
Sorghum,2006,Sep,2.4
Sorghum,2006,Oct,2.89
Sorghum,2006,Nov,3.26
Sorghum,2006,Dec,3.41
Sorghum,2007,Jan,3.53
Sorghum,2007,Feb,3.89
Sorghum,2007,Mar,3.63
Sorghum,2007,Apr,3.34
Sorghum,2007,May,3.63
Sorghum,2007,Jun,3.42
Sorghum,2007,Jul,3.09
Sorghum,2007,Aug,3.32
Sorghum,2007,Sep,3.46
Sorghum,2007,Oct,3.46
Sorghum,2007,Nov,3.51
Sorghum,2007,Dec,3.88
Sorghum,2008,Jan,4.14
Sorghum,2008,Feb,4.68
Sorghum,2008,Mar,5.06
Sorghum,2008,Apr,5.21
Sorghum,2008,May,5.22
Sorghum,2008,Jun,5.66
Sorghum,2008,Jul,5.07
Sorghum,2008,Aug,4.7
Sorghum,2008,Sep,4.47
Sorghum,2008,Oct,3.86
Sorghum,2008,Nov,3.63
Sorghum,2008,Dec,2.87
Sorghum,2009,Jan,3.18
Sorghum,2009,Feb,2.82
Sorghum,2009,Mar,3.01
Sorghum,2009,Apr,3.12
Sorghum,2009,May,3.35
Sorghum,2009,Jun,3.52
Sorghum,2009,Jul,2.91
Sorghum,2009,Aug,3
Sorghum,2009,Sep,3.15
Sorghum,2009,Oct,3.1
Sorghum,2009,Nov,3.18
Sorghum,2009,Dec,3.2
Sorghum,2010,Jan,3.27
Sorghum,2010,Feb,3.05
Sorghum,2010,Mar,3.18
Sorghum,2010,Apr,3.02
Sorghum,2010,May,3.19
Sorghum,2010,Jun,3.01
Sorghum,2010,Jul,3.34
Sorghum,2010,Aug,3.56
Sorghum,2010,Sep,4.07
Sorghum,2010,Oct,4.37
Sorghum,2010,Nov,4.73
Sorghum,2010,Dec,4.92
Sorghum,2011,Jan,5.31
Sorghum,2011,Feb,6.1
Sorghum,2011,Mar,5.94
Sorghum,2011,Apr,6.55
Sorghum,2011,May,6.5
Sorghum,2011,Jun,5.88
Sorghum,2011,Jul,5.82
Sorghum,2011,Aug,5.99
Sorghum,2011,Sep,5.88
Sorghum,2011,Oct,5.99
Sorghum,2011,Nov,5.99
Sorghum,2011,Dec,5.88
Sorghum,2012,Jan,6.05
Sorghum,2012,Feb,6.05
Sorghum,2012,Mar,6.1
Sorghum,2012,Apr,5.94
Sorghum,2012,May,5.82
Sorghum,2012,Jun,5.35
Sorghum,2012,Jul,5.94
Sorghum,2012,Aug,6.33
Sorghum,2012,Sep,6.44
Sorghum,2012,Oct,6.94
Sorghum,2012,Nov,6.94
Sorghum,2012,Dec,6.83
Sorghum,2013,Jan,6.72
Sorghum,2013,Feb,6.78
Sorghum,2013,Mar,6.83
Sorghum,2013,Apr,6.5
Sorghum,2013,May,6.38
Sorghum,2013,Jun,6.22
Sorghum,2013,Jul,5.39
Sorghum,2013,Aug,4.94
Sorghum,2013,Sep,4.58
Sorghum,2013,Oct,4.33
Sorghum,2013,Nov,4.13
Sorghum,2013,Dec,4.19
Sorghum,2014,Jan,4.21
Sorghum,2014,Feb,4.28
Sorghum,2014,Mar,4.61
Sorghum,2014,Apr,4.79
Sorghum,2014,May,4.6
Sorghum,2014,Jun,4.22
Sorghum,2014,Jul,4.14
Sorghum,2014,Aug,3.99
Sorghum,2014,Sep,3.66
Sorghum,2014,Oct,3.51
Sorghum,2014,Nov,3.68
Sorghum,2014,Dec,4.1
Sorghum,2015,Jan,4.14
Sorghum,2015,Feb,4.4
Sorghum,2015,Mar,4.48
Sorghum,2015,Apr,4.42
Sorghum,2015,May,4.24
Sorghum,2015,Jun,4.38
Sorghum,2015,Jul,4.3
Sorghum,2015,Aug,4.42
Sorghum,2015,Sep,4.13
Sorghum,2015,Oct,3.53
Sorghum,2015,Nov,3.26
Sorghum,2015,Dec,3.23
Sorghum,2016,Jan,3.14
Sorghum,2016,Feb,3.1
Sorghum,2016,Mar,3.18
Sorghum,2016,Apr,3
Sorghum,2016,May,3.11
Sorghum,2016,Jun,3.54
Sorghum,2016,Jul,3.41
Sorghum,2016,Aug,3.07
Sorghum,2016,Sep,2.7
Sorghum,2016,Oct,2.65
Sorghum,2016,Nov,2.57
Sorghum,2016,Dec,2.64
Sorghum,2017,Jan,2.7
Sorghum,2017,Feb,2.81
Sorghum,2017,Mar,2.73
Sorghum,2017,Apr,2.74
Sorghum,2017,May,2.89
Sorghum,2017,Jun,3.16
Sorghum,2017,Jul,3.7
Sorghum,2017,Aug,3.42
Sorghum,2017,Sep,3.25
Sorghum,2017,Oct,3.04
Sorghum,2017,Nov,3.01
Sorghum,2017,Dec,3.07
Sorghum,2018,Jan,3.23
Sorghum,2018,Feb,3.38
Sorghum,2018,Mar,3.36
Sorghum,2018,Apr,3.43
Sorghum,2018,May,3.43
Sorghum,2018,Jun,3.95
Sorghum,2018,Jul,3.8
Sorghum,2018,Aug,3.63
Sorghum,2018,Sep,3.41
Sorghum,2018,Oct,3.2
Sorghum,2018,Nov,3.1
Sorghum,2018,Dec,3.18
Sorghum,2019,Jan,3.2
Sorghum,2019,Feb,3.26
Sorghum,2019,Mar,3.28
Sorghum,2019,Apr,3.02
Sorghum,2019,May,3.18
Sorghum,2019,Jun,3.63
Sorghum,2019,Jul,3.94
Sorghum,2019,Aug,3.29
Sorghum,2019,Sep,3.36
Sorghum,2019,Oct,3.3
Sorghum,2019,Nov,3.18
Sorghum,2019,Dec,3.16
Sorghum,2020,Jan,3.22
Sorghum,2020,Feb,3.28
Sorghum,2020,Mar,3.28
Sorghum,2020,Apr,3.23
Sorghum,2020,May,3.32
Sorghum,2020,Jun,3.61
Sorghum,2020,Jul,4.06
Sorghum,2020,Aug,3.54
Sorghum,2020,Sep,4.08
Sorghum,2020,Oct,4.47
Sorghum,2020,Nov,4.84
Sorghum,2020,Dec,5.01
Sorghum,2021,Jan,5.26
Sorghum,2021,Feb,6.22
Sorghum,2021,Mar,6.16
Sorghum,2021,Apr,6.55
Sorghum,2021,May,6.83
Sorghum,2021,Jun,6.61
Sorghum,2021,Jul,5.99
Sorghum,2021,Aug,5.71
Sorghum,2021,Sep,5.43
Sorghum,2021,Oct,5.33
Sorghum,2021,Nov,5.66
Sorghum,2021,Dec,5.88
Sorghum,2022,Jan,6.05
Sorghum,2022,Feb,6.66
Sorghum,2022,Mar,7.06
Sorghum,2022,Apr,7.39
Sorghum,2022,May,7.39
Sorghum,2022,Jun,6.1
Sorghum,2022,Jul,5.53
Sorghum,2022,Aug,6.5
Sorghum,2022,Sep,6.78
Sorghum,2022,Oct,7.06
Sorghum,2022,Nov,7.17
Sorghum,2022,Dec,6.89
Sorghum,2023,Jan,6.66
Sorghum,2023,Feb,7
Sorghum,2023,Mar,6.78
Sorghum,2023,Apr,6.89
Sorghum,2023,May,6.5
Sorghum,2023,Jun,6.38
Sorghum,2023,Jul,5.45
Sorghum,2023,Aug,5.17
Sorghum,2023,Sep,5.24
Sorghum,2023,Oct,5.28
Sorghum,2023,Nov,5.07
Sorghum,2023,Dec,4.87
Sorghum,2024,Jan,4.89
Sorghum,2024,Feb,4.74
Sorghum,2024,Mar,4.74
Sorghum,2024,Apr,4.83
